id;nom;date;heure_debut;heure_fin
1;yippee towards;2023-12-06;finally fooey;effector
2;because;2023-12-05;actually ouch scrummage;terribly
3;brr qua gee;2023-12-06;along biodegradable tremendously;refute deafening
4;excrete;2023-12-06;hyacinth predict but;inborn that tomorrow
5;consequently;2023-12-06;enthusiastically knee opposite;compound huzzah
6;hosiery;2023-12-06;lope whoever;ack with
7;unless officiate;2023-12-05;disbar;pish restfully scale
8;bench although;2023-12-06;budget;ha
9;sealift;2023-12-05;crave windage;phooey ouch phew
10;amidst nor incidentally;2023-12-06;strictly;oh urban
